Time,Code,Price,NewsScore
2026-04-18 03:00:19.014955,2158.T,856.0,0
2026-04-18 03:00:22.692791,2411.T,493.0,0
2026-04-18 03:00:26.309333,3848.T,973.0,0
2026-04-18 03:00:29.876520,1992.T,2795.0,0
2026-04-18 03:00:33.500572,2134.T,33.0,0
2026-04-18 03:00:37.156344,3191.T,2216.0,0
2026-04-18 03:00:40.781001,3691.T,1571.0,0
2026-04-18 03:00:44.438265,2884.T,739.0,0
2026-04-18 03:00:48.109400,1914.T,716.0,0
2026-04-18 03:00:51.734354,2003.T,1833.0,0
2026-04-18 03:01:55.375742,2158.T,856.0,0
2026-04-18 03:01:59.016680,2411.T,493.0,0
2026-04-18 03:02:02.609975,3848.T,973.0,0
2026-04-18 03:02:06.241757,1992.T,2795.0,0
2026-04-18 03:02:09.953665,2134.T,33.0,0
2026-04-18 03:02:13.515947,3191.T,2216.0,0
2026-04-18 03:02:17.141649,3691.T,1571.0,0
2026-04-18 03:02:20.816338,2884.T,739.0,0
2026-04-18 03:02:24.453898,1914.T,716.0,0
2026-04-18 03:02:28.079378,2003.T,1833.0,0
2026-04-18 03:03:31.783110,2158.T,856.0,0
2026-04-18 03:03:35.423294,2411.T,493.0,0
2026-04-18 03:03:39.089408,3848.T,973.0,0
2026-04-18 03:03:42.612123,1992.T,2795.0,0
2026-04-18 03:03:46.441107,2134.T,33.0,0
2026-04-18 03:03:50.079109,3191.T,2216.0,0
2026-04-18 03:03:53.720347,3691.T,1571.0,0
2026-04-18 03:03:57.415194,2884.T,739.0,0
2026-04-18 03:04:00.994415,1914.T,716.0,0
2026-04-18 03:04:04.641938,2003.T,1833.0,0
2026-04-18 03:05:08.521487,2158.T,856.0,0
2026-04-18 03:05:12.076163,2411.T,493.0,0
2026-04-18 03:05:15.632326,3848.T,973.0,0
2026-04-18 03:05:19.221165,1992.T,2795.0,0
2026-04-18 03:05:22.856758,2134.T,33.0,0
2026-04-18 03:05:26.457028,3191.T,2216.0,0
2026-04-18 03:05:30.003980,3691.T,1571.0,0
2026-04-18 03:05:33.604089,2884.T,739.0,0
2026-04-18 03:05:37.415125,1914.T,716.0,0
2026-04-18 03:05:41.067792,2003.T,1833.0,0
2026-04-18 03:06:44.767017,2158.T,856.0,0
2026-04-18 03:06:48.422182,2411.T,493.0,0
2026-04-18 03:06:52.031930,3848.T,973.0,0
2026-04-18 03:06:55.635917,1992.T,2795.0,0
2026-04-18 03:06:59.267384,2134.T,33.0,0
2026-04-18 03:07:03.179698,3191.T,2216.0,0
2026-04-18 03:07:06.817016,3691.T,1571.0,0
2026-04-18 03:07:10.478095,2884.T,739.0,0
2026-04-18 03:07:14.138648,1914.T,716.0,0
2026-04-18 03:07:17.808398,2003.T,1833.0,0
2026-04-18 03:08:21.516953,2158.T,856.0,0
2026-04-18 03:08:25.114865,2411.T,493.0,0
2026-04-18 03:08:28.785766,3848.T,973.0,0
2026-04-18 03:08:32.355986,1992.T,2795.0,0
2026-04-18 03:08:36.051851,2134.T,33.0,0
2026-04-18 03:08:39.733997,3191.T,2216.0,0
2026-04-18 03:08:43.353563,3691.T,1571.0,0
2026-04-18 03:08:46.987256,2884.T,739.0,0
2026-04-18 03:08:50.673305,1914.T,716.0,0
2026-04-18 03:08:54.346781,2003.T,1833.0,0
2026-04-18 03:09:58.081649,2158.T,856.0,0
2026-04-18 03:10:01.680328,2411.T,493.0,0
2026-04-18 03:10:05.411176,3848.T,973.0,0
2026-04-18 03:10:09.073063,1992.T,2795.0,0
2026-04-18 03:10:12.800774,2134.T,33.0,0
2026-04-18 03:10:16.520765,3191.T,2216.0,0
2026-04-18 03:10:20.113249,3691.T,1571.0,0
2026-04-18 03:10:23.753477,2884.T,739.0,0
2026-04-18 03:10:27.444421,1914.T,716.0,0
2026-04-18 03:10:31.082405,2003.T,1833.0,0
2026-04-18 03:11:34.847913,2158.T,856.0,0
2026-04-18 03:11:38.534986,2411.T,493.0,0
2026-04-18 03:11:42.192098,3848.T,973.0,0
2026-04-18 03:11:45.777095,1992.T,2795.0,0
2026-04-18 03:11:49.380628,2134.T,33.0,0
2026-04-18 03:11:53.003504,3191.T,2216.0,0
2026-04-18 03:11:56.685279,3691.T,1571.0,0
2026-04-18 03:12:00.289220,2884.T,739.0,0
2026-04-18 03:12:03.914652,1914.T,716.0,0
2026-04-18 03:12:07.589591,2003.T,1833.0,0
2026-04-18 03:13:11.332736,2158.T,856.0,0
2026-04-18 03:13:15.018401,2411.T,493.0,0
2026-04-18 03:13:18.770491,3848.T,973.0,0
2026-04-18 03:13:22.363148,1992.T,2795.0,0
2026-04-18 03:13:26.067020,2134.T,33.0,0
2026-04-18 03:13:29.779253,3191.T,2216.0,0
2026-04-18 03:13:33.487529,3691.T,1571.0,0
2026-04-18 03:13:37.161307,2884.T,739.0,0
2026-04-18 03:13:40.786238,1914.T,716.0,0
2026-04-18 03:13:44.442025,2003.T,1833.0,0
2026-04-18 03:14:48.202496,2158.T,856.0,0
2026-04-18 03:14:51.866043,2411.T,493.0,0
2026-04-18 03:14:55.585717,3848.T,973.0,0
2026-04-18 03:14:59.115456,1992.T,2795.0,0
2026-04-18 03:15:02.846600,2134.T,33.0,0
2026-04-18 03:15:06.542946,3191.T,2216.0,0
2026-04-18 03:15:10.109802,3691.T,1571.0,0
2026-04-18 03:15:13.778500,2884.T,739.0,0
2026-04-18 03:15:17.476584,1914.T,716.0,0
2026-04-18 03:15:21.303791,2003.T,1833.0,0
2026-04-18 03:16:25.114934,2158.T,856.0,0
2026-04-18 03:16:28.959913,2411.T,493.0,0
2026-04-18 03:16:32.583383,3848.T,973.0,0
2026-04-18 03:16:36.237721,1992.T,2795.0,0
2026-04-18 03:16:39.912458,2134.T,33.0,0
2026-04-18 03:16:43.544741,3191.T,2216.0,0
2026-04-18 03:16:47.178190,3691.T,1571.0,0
2026-04-18 03:16:50.899188,2884.T,739.0,0
2026-04-18 03:16:54.459270,1914.T,716.0,0
2026-04-18 03:16:58.131015,2003.T,1833.0,0
2026-04-18 03:18:01.786307,2158.T,856.0,0
2026-04-18 03:18:05.881528,2411.T,493.0,0
2026-04-18 03:18:09.677624,3848.T,973.0,0
2026-04-18 03:18:13.393603,1992.T,2795.0,0
2026-04-18 03:18:17.209165,2134.T,33.0,0
2026-04-18 03:18:20.811578,3191.T,2216.0,0
2026-04-18 03:18:24.452540,3691.T,1571.0,0
2026-04-18 03:19:29.694616,2158.T,856.0,0
2026-04-18 03:19:33.323549,2411.T,493.0,0
2026-04-18 03:19:37.061965,3848.T,973.0,0
2026-04-18 03:19:40.950930,1992.T,2795.0,0
2026-04-18 03:19:44.696612,2134.T,33.0,0
2026-04-18 03:19:48.415921,3191.T,2216.0,0
2026-04-18 03:19:52.000738,3691.T,1571.0,0
2026-04-18 03:19:55.755564,2884.T,739.0,0
2026-04-18 03:19:59.413533,1914.T,716.0,0
2026-04-18 03:20:03.084685,2003.T,1833.0,0
2026-04-18 03:21:08.094160,2158.T,856.0,0
2026-04-18 03:21:11.799155,2411.T,493.0,0
2026-04-18 03:21:15.524259,3848.T,973.0,0
2026-04-18 03:21:19.290071,1992.T,2795.0,0
2026-04-18 03:21:23.011973,2134.T,33.0,0
2026-04-18 03:21:26.917128,3191.T,2216.0,0
