code,factors,profit,regime
6758.T,"{'market': 38.20983799207618, 'tech': 34.61, 'news': 0.0, 'inst': 60.0, 'future': 34.0327933069206}",0,BEAR
9984.T,"{'market': 8.648580661179638, 'tech': 25.65, 'news': 0.0, 'inst': 75.0, 'future': 5.495268870598794}",0,BEAR
9432.T,"{'market': 38.67927637425796, 'tech': 34.59, 'news': 0.0, 'inst': 50.0, 'future': 35.59758791419319}",0,BEAR
7203.T,"{'market': 38.31979289867412, 'tech': 34.5, 'news': 0.0, 'inst': 60.0, 'future': 34.399309662247084}",0,BEAR
8306.T,"{'market': 39.55429252448517, 'tech': 45.56, 'news': 0.0, 'inst': 60.0, 'future': 38.51430841495058}",0,BEAR
7203.T,"{'market': 38.62811120908538, 'tech': 34.73, 'news': 0.0, 'inst': 50.0, 'future': 35.42703736361794}",0,BEAR
9984.T,"{'market': 3.280956091591161, 'tech': 35.97, 'news': 0.0, 'inst': 50.0, 'future': 4.269853638637199}",0,BEAR
9432.T,"{'market': 39.164723775733826, 'tech': 34.61, 'news': 0.0, 'inst': 50.0, 'future': 37.21574591911276}",0,BEAR
6758.T,"{'market': 39.59192745414647, 'tech': 83.93, 'news': 0.0, 'inst': 60.0, 'future': 38.63975818048823}",0,BEAR
8306.T,"{'market': 38.34930985631097, 'tech': 36.5, 'news': 0.0, 'inst': 50.0, 'future': 21.164366187703223}",0,SIDE
9984.T,"{'market': 2.9720614528194353, 'tech': 26.53, 'news': 0.0, 'inst': 50.0, 'future': 3.2402048427314516}",0,BEAR
8306.T,"{'market': 38.58399235415481, 'tech': 36.5, 'news': 0.0, 'inst': 50.0, 'future': 21.946641180516036}",0,SIDE
6758.T,"{'market': 38.68182689003991, 'tech': 53.21, 'news': 0.0, 'inst': 50.0, 'future': 35.606089633466354}",0,BEAR
9432.T,"{'market': 38.66674626912647, 'tech': 34.65, 'news': 0.0, 'inst': 50.0, 'future': 35.55582089708824}",0,BEAR
7203.T,"{'market': 38.862496568263566, 'tech': 34.91, 'news': 0.0, 'inst': 50.0, 'future': 36.208321894211885}",0,BEAR
8306.T,"{'market': 17.101106884220854, 'tech': 36.27, 'news': 0.0, 'inst': 50.0, 'future': 17.003689614069515}",0,SIDE
9984.T,"{'market': 0.0, 'tech': 26.88, 'news': 0.0, 'inst': 60.0, 'future': 1.9094848720692048}",0,BEAR
9432.T,"{'market': 17.55085437504944, 'tech': 34.77, 'news': 0.0, 'inst': 50.0, 'future': 31.836181250164802}",0,BEAR
7203.T,"{'market': 38.94371918623956, 'tech': 35.16, 'news': 0.0, 'inst': 50.0, 'future': 36.479063954131874}",0,BEAR
6758.T,"{'market': 38.94472950579116, 'tech': 35.57, 'news': 0.0, 'inst': 50.0, 'future': 36.482431685970525}",0,BEAR
6758.T,"{'market': 38.81142220943574, 'tech': 35.4, 'news': 0.0, 'inst': 50.0, 'future': 36.038074031452474}",0,BEAR
7203.T,"{'market': 38.53599452958929, 'tech': 35.15, 'news': 0.0, 'inst': 50.0, 'future': 35.11998176529762}",0,BEAR
9984.T,"{'market': 2.910967210342344, 'tech': 26.95, 'news': 0.0, 'inst': 50.0, 'future': 3.0365573678078093}",0,BEAR
8306.T,"{'market': 17.269417323282774, 'tech': 36.06, 'news': 0.0, 'inst': 50.0, 'future': 17.56472441094257}",0,SIDE
9432.T,"{'market': 37.779056923223344, 'tech': 34.74, 'news': 0.0, 'inst': 50.0, 'future': 32.59685641074447}",0,BEAR
9984.T,"{'market': 3.778543030998316, 'tech': 26.92, 'news': 0.0, 'inst': 50.0, 'future': 5.928476769994383}",0,BEAR
6758.T,"{'market': 38.95533445091556, 'tech': 43.41, 'news': 0.0, 'inst': 50.0, 'future': 36.51778150305185}",0,BEAR
9432.T,"{'market': 18.46988875468155, 'tech': 34.66, 'news': 0.0, 'inst': 50.0, 'future': 34.89962918227182}",0,BEAR
8306.T,"{'market': 35.881266209322504, 'tech': 35.77, 'news': 0.0, 'inst': 50.0, 'future': 12.93755403107501}",0,SIDE
7203.T,"{'market': 38.853766019668655, 'tech': 35.14, 'news': 0.0, 'inst': 50.0, 'future': 36.17922006556219}",0,BEAR
6758.T,"{'market': 38.87873502987826, 'tech': 35.18, 'news': 0.0, 'inst': 50.0, 'future': 36.26245009959419}",0,BEAR
7203.T,"{'market': 39.16891745796095, 'tech': 38.11, 'news': 0.0, 'inst': 50.0, 'future': 37.22972485986984}",0,BEAR
9432.T,"{'market': 26.796177374025426, 'tech': 28.46, 'news': 0.0, 'inst': 50.0, 'future': 15.987257913418075}",0,BEAR
8306.T,"{'market': 55.1865299365303, 'tech': 35.57, 'news': 0.0, 'inst': 50.0, 'future': 10.621766455100998}",0,SIDE
9984.T,"{'market': 3.9203806839649573, 'tech': 27.08, 'news': 0.0, 'inst': 50.0, 'future': 6.401268946549857}",0,BEAR
6758.T,"{'market': 38.87873502987826, 'tech': 35.03, 'news': 0.0, 'inst': 50.0, 'future': 36.26245009959419}",0,BEAR
7203.T,"{'market': 18.4970685548614, 'tech': 37.87, 'news': 0.0, 'inst': 60.0, 'future': 34.99022851620466}",0,BEAR
8306.T,"{'market': 55.47396430796768, 'tech': 45.69, 'news': 0.0, 'inst': 50.0, 'future': 11.579881026558926}",0,SIDE
9984.T,"{'market': 3.8490606169638504, 'tech': 27.4, 'news': 0.0, 'inst': 50.0, 'future': 6.163535389879497}",0,BEAR
9432.T,"{'market': 27.003619614639806, 'tech': 31.4, 'news': 0.0, 'inst': 50.0, 'future': 16.678732048799354}",0,BEAR
6758.T,"{'market': 38.87873502987826, 'tech': 34.98, 'news': 0.0, 'inst': 50.0, 'future': 36.26245009959419}",0,BEAR
7203.T,"{'market': 38.72932053233026, 'tech': 34.69, 'news': 0.0, 'inst': 50.0, 'future': 35.76440177443422}",0,BEAR
9432.T,"{'market': 39.0036196146398, 'tech': 34.51, 'news': 0.0, 'inst': 50.0, 'future': 36.67873204879935}",0,BEAR
8306.T,"{'market': 55.98733067757291, 'tech': 55.7, 'news': 0.0, 'inst': 70.0, 'future': 13.291102258576371}",0,SIDE
9984.T,"{'market': 3.9197555854353396, 'tech': 27.97, 'news': 0.0, 'inst': 50.0, 'future': 6.3991852847844655}",0,BEAR
9984.T,"{'market': 47.37500112533193, 'tech': 60.79, 'news': 0.0, 'inst': 100.0, 'future': 31.25000375110642}",0,BEAR
9432.T,"{'market': 38.09459446701069, 'tech': 34.54, 'news': 0.0, 'inst': 50.0, 'future': 33.64864822336895}",0,BEAR
7203.T,"{'market': 37.94553895129583, 'tech': 34.67, 'news': 0.0, 'inst': 50.0, 'future': 33.151796504319435}",0,BEAR
8306.T,"{'market': 96.89944572484102, 'tech': 100.0, 'news': 0.0, 'inst': 100.0, 'future': 37.99815241613671}",0,BULL
6758.T,"{'market': 37.88596287589293, 'tech': 34.92, 'news': 0.0, 'inst': 50.0, 'future': 32.953209586309754}",0,BEAR
7203.T,"{'market': 38.110453479363734, 'tech': 34.67, 'news': 0.0, 'inst': 50.0, 'future': 33.701511597879104}",0,BEAR
9984.T,"{'market': 42.445519422803144, 'tech': 51.34, 'news': 0.0, 'inst': 75.0, 'future': 31.48506474267715}",0,BEAR
9432.T,"{'market': 38.02578751197519, 'tech': 34.71, 'news': 0.0, 'inst': 50.0, 'future': 33.41929170658396}",0,BEAR
6758.T,"{'market': 22.53974401917659, 'tech': 50.72, 'news': 0.0, 'inst': 75.0, 'future': 31.799146730588642}",0,BEAR
8306.T,"{'market': 73.11746610381321, 'tech': 43.93, 'news': 0.0, 'inst': 75.0, 'future': 33.724887012710724}",0,SIDE
9984.T,"{'market': 38.02538069207095, 'tech': 45.91, 'news': 0.0, 'inst': 50.0, 'future': 33.417935640236486}",0,BEAR
6758.T,"{'market': 5.529942622457428, 'tech': 28.46, 'news': 0.0, 'inst': 50.0, 'future': 11.766475408191429}",0,BEAR
7203.T,"{'market': 5.879564024201375, 'tech': 28.49, 'news': 0.0, 'inst': 50.0, 'future': 12.931880080671245}",0,BEAR
8306.T,"{'market': 68.13062420240887, 'tech': 44.39, 'news': 0.0, 'inst': 50.0, 'future': 33.768747341362875}",0,SIDE
9432.T,"{'market': 38.34507956898259, 'tech': 45.92, 'news': 0.0, 'inst': 60.0, 'future': 34.48359856327531}",0,BEAR
9984.T,"{'market': 38.40583690103195, 'tech': 46.43, 'news': 0.0, 'inst': 70.0, 'future': 34.686123003439825}",0,BEAR
7203.T,"{'market': 5.871787023965316, 'tech': 28.46, 'news': 0.0, 'inst': 50.0, 'future': 12.905956746551055}",0,BEAR
6758.T,"{'market': 5.302371483034239, 'tech': 28.09, 'news': 0.0, 'inst': 50.0, 'future': 11.007904943447462}",0,BEAR
9432.T,"{'market': 38.6887857901648, 'tech': 43.05, 'news': 0.0, 'inst': 60.0, 'future': 35.62928596721601}",0,BEAR
8306.T,"{'market': 68.49592231429489, 'tech': 44.57, 'news': 0.0, 'inst': 50.0, 'future': 34.98640771431629}",0,SIDE
6758.T,"{'market': 5.674681187533974, 'tech': 27.76, 'news': 0.0, 'inst': 50.0, 'future': 12.248937291779908}",0,BEAR
7203.T,"{'market': 6.108223044399397, 'tech': 28.35, 'news': 0.0, 'inst': 50.0, 'future': 13.694076814664657}",0,BEAR
8306.T,"{'market': 68.15611168652106, 'tech': 44.4, 'news': 0.0, 'inst': 50.0, 'future': 33.85370562173686}",0,SIDE
9432.T,"{'market': 38.71131619649818, 'tech': 43.12, 'news': 0.0, 'inst': 50.0, 'future': 35.70438732166061}",0,BEAR
9984.T,"{'market': 39.59238176645212, 'tech': 36.95, 'news': 0.0, 'inst': 50.0, 'future': 38.64127255484039}",0,BEAR
9984.T,"{'market': 38.44256458809052, 'tech': 36.72, 'news': 0.0, 'inst': 50.0, 'future': 34.80854862696841}",0,BEAR
9432.T,"{'market': 37.95633562500533, 'tech': 35.11, 'news': 0.0, 'inst': 50.0, 'future': 33.187785416684434}",0,BEAR
6758.T,"{'market': 4.922164863691778, 'tech': 27.39, 'news': 0.0, 'inst': 50.0, 'future': 9.740549545639261}",0,BEAR
8306.T,"{'market': 68.9118221084332, 'tech': 43.9, 'news': 0.0, 'inst': 50.0, 'future': 36.37274036144401}",0,SIDE
7203.T,"{'market': 6.026010296335684, 'tech': 28.12, 'news': 0.0, 'inst': 50.0, 'future': 13.420034321118948}",0,BEAR
8306.T,"{'market': 48.2015543607082, 'tech': 43.47, 'news': 0.0, 'inst': 50.0, 'future': 34.00518120236068}",0,SIDE
6758.T,"{'market': 10.449095754607383, 'tech': 43.26, 'news': 0.0, 'inst': 75.0, 'future': 11.496985848691276}",0,BEAR
7203.T,"{'market': 11.260652087103226, 'tech': 43.96, 'news': 0.0, 'inst': 75.0, 'future': 14.202173623677416}",0,BEAR
9432.T,"{'market': 38.64384723452487, 'tech': 43.21, 'news': 0.0, 'inst': 60.0, 'future': 35.47949078174956}",0,BEAR
9984.T,"{'market': 39.24088495681682, 'tech': 39.59, 'news': 0.0, 'inst': 60.0, 'future': 37.46961652272274}",0,BEAR
8306.T,"{'market': 69.12974201386345, 'tech': 43.21, 'news': 0.0, 'inst': 50.0, 'future': 37.09914004621148}",0,SIDE
9432.T,"{'market': 38.93493836887325, 'tech': 43.11, 'news': 0.0, 'inst': 50.0, 'future': 36.449794562910824}",0,BEAR
6758.T,"{'market': 5.6792640605092775, 'tech': 27.2, 'news': 0.0, 'inst': 50.0, 'future': 12.264213535030924}",0,BEAR
