code,profit,factors,regime,entry_day,exit_day,entry,exit
4063.T,-0.0288927037931673,"{'score': 72.58115355290182, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 95.0}",,,,,
8035.T,-0.0792209113145587,"{'score': 53.30387654771435, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 94.0}",,,,,
7203.T,-0.0103446682831762,"{'score': 53.974976471468835, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 85.0, 'order_score': 92.0}",,,,,
2914.T,-0.0337076682514057,"{'score': 87.9371149266628, 'institution_hold': True, 'flow_score': 90.0, 'pressure_score': 55.0, 'order_score': 84.0}",,,,,
7203.T,-0.0376432005122954,"{'score': 72.8085287650223, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 100.0, 'order_score': 96.0}",,,,,
8058.T,-0.0770639008801986,"{'score': 72.45745872645935, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 94.0}",,,,,
4063.T,-0.0182927063680839,"{'score': 72.65806116464353, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 98.0}",,,,,
6501.T,-0.0543735086140804,"{'score': 72.70821177418956, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 99.0}",,,,,
2914.T,-0.0441990469772786,"{'score': 81.00334569851614, 'institution_hold': True, 'flow_score': 80.0, 'pressure_score': 90.0, 'order_score': 90.0}",,,,,
2914.T,-0.0871796229814246,"{'score': 52.70903346130709, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 60.0, 'order_score': 94.0}",,,,,
8058.T,-0.0939717054412865,"{'score': 52.959869892909595, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 65.0, 'order_score': 94.0}",,,,,
8035.T,-0.0669691691006941,"{'score': 54.608298789770885, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 97.0}",,,,,
8058.T,-0.0386026855977,"{'score': 72.2003884083231, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 90.0, 'order_score': 94.0}",,,,,
7203.T,-0.0467289629264846,"{'score': 99.29987641553356, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 96.0}",,,,,
8306.T,-0.0200000638979677,"{'score': 97.34121889983315, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 65.0, 'order_score': 82.0}",,,,,
6501.T,-0.0232289053478866,"{'score': 99.34627369963108, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 97.0}",,,,,
7203.T,-0.0506708517759774,"{'score': 54.5157318195595, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 95.0}",,,,,
4063.T,-0.028213139698046,"{'score': 54.76573970784621, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 100.0}",,,,,
8035.T,-0.0601855458711287,"{'score': 99.34977268313729, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 97.0}",,,,,
4063.T,-0.0288925597062146,"{'score': 72.58115355290182, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 95.0}",,,,,
8035.T,-0.0792206994221791,"{'score': 53.30387654771435, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 94.0}",,,,,
7203.T,-0.0103446682831762,"{'score': 53.974976471468835, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 85.0, 'order_score': 92.0}",,,,,
2914.T,-0.0337076715197086,"{'score': 87.9371149266628, 'institution_hold': True, 'flow_score': 90.0, 'pressure_score': 55.0, 'order_score': 84.0}",,,,,
7203.T,-0.037643197325417,"{'score': 72.8085287650223, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 100.0, 'order_score': 96.0}",,,,,
8058.T,-0.0770642810760679,"{'score': 72.45745872645935, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 94.0}",,,,,
4063.T,-0.0182929087031247,"{'score': 72.65806116464353, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 98.0}",,,,,
6501.T,-0.054373604093716,"{'score': 72.70821177418956, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 99.0}",,,,,
2914.T,-0.0441989051182878,"{'score': 81.00334569851614, 'institution_hold': True, 'flow_score': 80.0, 'pressure_score': 90.0, 'order_score': 90.0}",,,,,
2914.T,-0.087179721215469,"{'score': 52.70903346130709, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 60.0, 'order_score': 94.0}",,,,,
8058.T,-0.0939717170990379,"{'score': 52.959869892909595, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 65.0, 'order_score': 94.0}",,,,,
8035.T,-0.066969659939095,"{'score': 54.608298789770885, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 97.0}",,,,,
7203.T,-0.0467286594629201,"{'score': 99.29987641553356, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 96.0}",,,,,
8306.T,-0.0200000653839718,"{'score': 97.34197900987162, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 65.0, 'order_score': 82.0}",,,,,
9432.T,-0.0398274853125567,"{'score': 52.60786965069198, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 82.0}",,,,,
6501.T,-0.0443178427273082,"{'score': 99.49976591643947, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 100.0}",,,,,
