Day,Asset
240,3000296.03417904
241,2990155.4021581416
242,2984019.2083104854
243,2970340.967243829
244,2987982.025593438
245,2996680.9269606257
246,2987591.907185235
247,2976419.6171461726
248,2974549.2967186337
249,2966442.570644415
250,2963472.954482306
251,2965577.489394415
252,2971127.3368065245
253,2969105.748671759
254,2956632.448383612
255,2964242.04921369
256,2961305.7821238465
257,2975352.211567206
258,2985660.658832831
259,2978892.244458588
260,2978892.244458588
261,2982290.5598882753
262,2980564.4368414003
263,2998067.2617625427
264,2994903.502683441
265,2994903.502683441
266,2983156.1699197693
267,3002458.245115082
268,3021245.354490082
269,3013755.93188266
270,2989969.5122049255
271,2968674.8536707703
272,2950383.3047056706
273,2951370.4910086794
274,2959526.6921805544
275,2954768.952922742
276,2957487.702922742
277,2954768.952922742
278,2963604.890422742
279,3012542.195110242
280,3017192.7004268435
281,3007422.509997156
282,2993696.8386104372
283,3014303.2473018435
284,3011094.158299048
285,3011930.6268049073
286,3002775.524265845
287,2973605.661925244
288,2986742.6644887207
289,2981092.807921338
290,2958925.5029294495
291,2960548.356599283
292,2941919.6163495393
293,2954474.8043378205
294,2945959.6798261018
295,2931422.0089276643
296,2940493.969376883
297,2940616.6988690705
298,2953143.6519940705
299,2954031.0421307893
300,2951227.3800214143
301,2943986.9137128205
302,2927616.1994408723
303,2918196.59173577
304,2914848.868347098
305,2928442.6915892856
306,2927159.2138060825
307,2933301.6576537387
308,2935315.53704827
309,2928391.8798217075
310,2933854.7887572544
311,2933175.028015067
312,2938840.616393973
313,2934813.339782645
314,2954098.105407645
315,2951303.1957396762
316,2950187.1722591487
317,2938488.3036983577
318,2930593.028582391
319,2934960.5121028987
320,2934097.0385921565
321,2941021.2779415217
322,2943770.2586544123
323,2945611.834276971
324,2939273.3470333186
325,2953058.986986932
326,2957190.860308465
327,2961816.5273386673
328,2975424.746463936
329,2977547.632170326
330,2964360.7120043105
331,2957378.0765062636
332,2928469.3728929823
333,2939606.213713295
334,2952857.33676017
335,2939804.651213295
336,2957351.050139076
337,2974151.764250404
338,3002933.6917406386
339,3039446.820402748
340,2995161.3955980605
341,2988726.926053407
342,2988456.650174501
343,2998925.967801454
344,2978147.5620397353
345,2953710.849393251
346,2959871.377957704
347,2959871.377957704
348,2959871.377957704
349,2959871.377957704
350,2960509.5188268446
351,2966914.6959552383
352,2953917.973543129
353,2941141.1816263013
354,2939734.742417317
355,2947844.0136575513
356,2929610.1066780747
357,2952610.6651497544
358,2942884.0355110825
359,2930243.1358528794
360,2926241.5550423325
361,2896462.1086311997
362,2903400.8930397443
363,2892216.7286110334
364,2906077.995700877
